Data de Referência,Precipitação (mm)
2007-01-01,52.4
2007-02-01,117.8
2007-03-01,91.6
2007-04-01,62.8
2007-05-01,27.4
2007-06-01,195.4
2007-07-01,74.4
2007-08-01,184.0
2007-09-01,66.0
2007-10-01,161.6
2007-11-01,37.8
2007-12-01,85.0
2008-01-01,75.60000000000001
2008-02-01,126.2
2008-03-01,56.2
2008-04-01,78.0
2008-05-01,93.0
2008-06-01,181.0
2008-07-01,104.0
2008-08-01,138.0
2008-09-01,82.0
2008-10-01,86.8
2008-11-01,59.2
2008-12-01,85.6
2009-01-01,124.2
2009-02-01,142.0
2009-03-01,56.6
2009-04-01,3.2
2009-05-01,136.0
2009-06-01,42.0
2009-07-01,53.6
2009-08-01,207.2
2009-09-01,221.8
2009-10-01,107.4
2009-11-01,473.4
2009-12-01,120.2
2010-01-01,138.4
2010-02-01,181.20000000000002
2010-03-01,80.60000000000001
2010-04-01,85.8
2010-05-01,73.2
2010-06-01,92.0
2010-07-01,259.8
2010-08-01,39.4
2010-09-01,115.60000000000001
2010-10-01,0.2
2010-11-01,4.6
2010-12-01,57.4
2011-01-01,93.6
2011-02-01,68.4
2011-03-01,135.0
2011-04-01,86.2
2011-05-01,38.2
2011-06-01,111.0
2011-07-01,75.0
2011-08-01,66.6
2011-09-01,63.6
2011-10-01,87.4
2011-11-01,36.4
2011-12-01,52.8
2012-01-01,43.6
2012-02-01,224.0
2012-03-01,20.4
2012-04-01,95.8
2012-05-01,14.4
2012-06-01,109.8
2012-07-01,92.0
2012-08-01,99.4
2012-09-01,123.2
2012-10-01,187.20000000000002
2012-11-01,75.4
2012-12-01,174.0
2013-01-01,181.79999999999998
2013-02-01,119.8
2013-03-01,32.2
2013-04-01,78.6
2013-05-01,154.4
2013-06-01,64.4
2013-07-01,47.4
2013-08-01,115.6
2013-09-01,167.8
2013-10-01,196.4
2013-11-01,205.6
2013-12-01,84.8
2014-01-01,285.0
2014-02-01,209.6
2014-03-01,237.20000000000002
2014-04-01,88.0
2014-05-01,35.0
2014-06-01,40.4
2014-07-01,175.0
2014-08-01,66.6
2014-09-01,179.2
2014-10-01,278.0
2014-11-01,115.8
2014-12-01,188.0
2015-01-01,207.4
2015-02-01,87.8
2015-03-01,32.4
2015-04-01,21.2
2015-05-01,126.2
2015-06-01,207.20000000000002
2015-07-01,211.4
2015-08-01,106.8
2015-09-01,254.4
2015-10-01,392.4
2015-11-01,93.4
2015-12-01,239.79999999999998
2016-01-01,81.60000000000001
2016-02-01,114.2
2016-03-01,192.8
2016-04-01,338.0
2016-05-01,0.0
2016-06-01,0.0
2016-07-01,0.0
2016-08-01,95.0
2016-09-01,55.0
2016-10-01,119.2
2016-11-01,101.2
2016-12-01,78.8
2017-01-01,163.4
2017-02-01,97.6
2017-03-01,5.0
2017-04-01,147.8
2017-05-01,254.6
2017-06-01,118.8
2017-07-01,32.6
2017-08-01,165.4
2017-09-01,225.0
2017-10-01,245.20000000000002
2017-11-01,26.8
2017-12-01,53.4
2018-01-01,42.8
2018-02-01,57.4
2018-03-01,128.8
2018-04-01,92.4
2018-05-01,111.0
2018-06-01,67.8
2018-07-01,166.6
2018-08-01,206.6
2018-09-01,135.4
2018-10-01,61.800000000000004
2018-11-01,97.4
2018-12-01,102.2
2019-01-01,478.0
2019-02-01,46.8
2019-03-01,24.8
2019-04-01,86.4
2019-05-01,138.0
2019-06-01,29.8
2019-07-01,159.6
2019-08-01,105.2
2019-09-01,102.0
2019-10-01,397.4
2019-11-01,103.2
2019-12-01,44.6
2020-01-01,105.8
2020-02-01,40.2
2020-03-01,21.4
2020-04-01,83.0
2020-05-01,162.6
2020-06-01,188.0
2020-07-01,54.2
2020-08-01,78.0
2020-09-01,104.6
2020-10-01,77.6
2020-11-01,27.0
2020-12-01,89.6
2021-01-01,145.4
2021-02-01,213.6
2021-03-01,112.4
2021-04-01,24.8
2021-05-01,60.2
2021-06-01,140.6
2021-07-01,31.400000000000002
2021-08-01,100.0
2021-09-01,205.0
2021-10-01,59.2
2021-11-01,26.4
2021-12-01,49.0
2022-01-01,91.2
2022-02-01,141.4
2022-03-01,90.4
2022-04-01,199.8
2022-05-01,62.0
2022-06-01,86.4
2022-07-01,189.2
2022-08-01,163.6
2022-09-01,69.4
2022-10-01,139.0
2022-11-01,45.0
2022-12-01,59.2
