Data de Referência,Temperatura Mediana (°C)
2007-01-01,22.549999999999997
2007-02-01,23.15
2007-03-01,21.65
2007-04-01,19.75
2007-05-01,12.0
2007-06-01,11.399999999999999
2007-07-01,8.95
2007-08-01,10.0
2007-09-01,17.174999999999997
2007-10-01,18.2
2007-11-01,18.6
2007-12-01,21.9
2008-01-01,22.375
2008-02-01,21.65
2008-03-01,20.700000000000003
2008-04-01,17.1
2008-05-01,14.35
2008-06-01,11.5
2008-07-01,14.1
2008-08-01,12.45
2008-09-01,12.775
2008-10-01,17.525
2008-11-01,20.75
2008-12-01,21.1
2009-01-01,21.4
2009-02-01,22.049999999999997
2009-03-01,21.15
2009-04-01,17.75
2009-05-01,16.1
2009-06-01,10.6
2009-07-01,10.1
2009-08-01,13.375
2009-09-01,14.275
2009-10-01,16.05
2009-11-01,20.924999999999997
2009-12-01,21.625
2010-01-01,23.025
2010-02-01,23.6
2010-03-01,21.4
2010-04-01,17.95
2010-05-01,15.15
2010-06-01,13.100000000000001
2010-07-01,11.649999999999999
2010-08-01,12.375
2010-09-01,15.55
2010-10-01,15.75
2010-11-01,18.1
2010-12-01,22.775
2011-01-01,24.475
2011-02-01,22.625
2011-03-01,20.6
2011-04-01,18.049999999999997
2011-05-01,14.175
2011-06-01,11.899999999999999
2011-07-01,11.75
2011-08-01,13.175
2011-09-01,14.399999999999999
2011-10-01,16.9
2011-11-01,20.075000000000003
2011-12-01,20.3
2012-01-01,23.15
2012-02-01,23.85
2012-03-01,21.25
2012-04-01,16.9
2012-05-01,16.6
2012-06-01,12.0
2012-07-01,9.3
2012-08-01,17.75
2012-09-01,15.975000000000001
2012-10-01,18.425
2012-11-01,20.75
2012-12-01,23.5
2013-01-01,21.299999999999997
2013-02-01,22.1
2013-03-01,19.15
2013-04-01,18.35
2013-05-01,14.25
2013-06-01,12.175
2013-07-01,12.125
2013-08-01,9.875
2013-09-01,14.8
2013-10-01,16.875
2013-11-01,19.775
2013-12-01,23.450000000000003
2014-01-01,23.275
2014-02-01,22.5
2014-03-01,19.65
2014-04-01,18.625
2014-05-01,14.799999999999999
2014-06-01,12.65
2014-07-01,14.100000000000001
2014-08-01,13.875
2014-09-01,15.5
2014-10-01,18.725
2014-11-01,20.049999999999997
2014-12-01,21.6
2015-01-01,22.7
2015-02-01,21.9
2015-03-01,21.525
2015-04-01,18.55
2015-05-01,16.0
2015-06-01,14.05
2015-07-01,12.8
2015-08-01,17.0
2015-09-01,14.55
2015-10-01,15.95
2015-11-01,18.7
2015-12-01,21.4
2016-01-01,23.175
2016-02-01,23.799999999999997
2016-03-01,19.25
2016-04-01,20.125
2016-05-01,
2016-06-01,
2016-07-01,11.674999999999999
2016-08-01,14.025
2016-09-01,12.95
2016-10-01,17.424999999999997
2016-11-01,19.6
2016-12-01,22.875
2017-01-01,23.1
2017-02-01,22.85
2017-03-01,20.950000000000003
2017-04-01,18.35
2017-05-01,15.55
2017-06-01,13.75
2017-07-01,15.85
2017-08-01,15.2
2017-09-01,16.85
2017-10-01,17.1
2017-11-01,18.3
2017-12-01,23.225
2018-01-01,23.200000000000003
2018-02-01,22.4
2018-03-01,20.299999999999997
2018-04-01,20.9
2018-05-01,16.950000000000003
2018-06-01,11.0
2018-07-01,10.8
2018-08-01,11.8
2018-09-01,16.799999999999997
2018-10-01,17.575000000000003
2018-11-01,21.25
2018-12-01,21.25
2019-01-01,23.1
2019-02-01,22.450000000000003
2019-03-01,20.475
2019-04-01,19.025
2019-05-01,16.25
2019-06-01,17.275
2019-07-01,12.175
2019-08-01,13.0
2019-09-01,14.25
2019-10-01,17.725
2019-11-01,20.35
2019-12-01,22.299999999999997
2020-01-01,23.075000000000003
2020-02-01,22.75
2020-03-01,22.549999999999997
2020-04-01,18.05
2020-05-01,14.375
2020-06-01,13.7
2020-07-01,10.425
2020-08-01,15.475000000000001
2020-09-01,14.05
2020-10-01,17.125
2020-11-01,19.549999999999997
2020-12-01,21.4
2021-01-01,23.0
2021-02-01,21.15
2021-03-01,20.625
2021-04-01,18.700000000000003
2021-05-01,12.725
2021-06-01,11.55
2021-07-01,12.65
2021-08-01,13.350000000000001
2021-09-01,15.75
2021-10-01,17.200000000000003
2021-11-01,19.625
2021-12-01,21.4
2022-01-01,25.1
2022-02-01,22.4
2022-03-01,20.1
2022-04-01,17.75
2022-05-01,13.525
2022-06-01,11.05
2022-07-01,14.4
2022-08-01,12.2
2022-09-01,13.55
2022-10-01,16.0
2022-11-01,19.875
2022-12-01,22.6
