Data de Referência,Precipitação (mm)
2007-01-01,132.2
2007-02-01,57.2
2007-03-01,204.4
2007-04-01,51.4
2007-05-01,175.8
2007-06-01,59.0
2007-07-01,250.0
2007-08-01,123.6
2007-09-01,266.4
2007-10-01,122.2
2007-11-01,118.0
2007-12-01,198.6
2008-01-01,55.0
2008-02-01,86.2
2008-03-01,71.4
2008-04-01,86.4
2008-05-01,163.0
2008-06-01,157.6
2008-07-01,84.4
2008-08-01,181.2
2008-09-01,144.0
2008-10-01,300.2
2008-11-01,81.8
2008-12-01,71.6
2009-01-01,256.4
2009-02-01,139.0
2009-03-01,85.2
2009-04-01,24.4
2009-05-01,127.8
2009-06-01,81.0
2009-07-01,47.0
2009-08-01,42.8
2009-09-01,329.6
2009-10-01,137.0
2009-11-01,347.2
2009-12-01,206.6
2010-01-01,278.4
2010-02-01,161.4
2010-03-01,58.4
2010-04-01,136.4
2010-05-01,158.8
2010-06-01,128.0
2010-07-01,221.4
2010-08-01,34.8
2010-09-01,225.4
2010-10-01,51.0
2010-11-01,88.4
2010-12-01,89.6
2011-01-01,172.4
2011-02-01,214.0
2011-03-01,264.6
2011-04-01,147.8
2011-05-01,70.0
2011-06-01,178.6
2011-07-01,324.4
2011-08-01,243.0
2011-09-01,57.800000000000004
2011-10-01,100.2
2011-11-01,23.0
2011-12-01,69.2
2012-01-01,58.6
2012-02-01,207.4
2012-03-01,51.4
2012-04-01,74.2
2012-05-01,25.2
2012-06-01,53.6
2012-07-01,192.4
2012-08-01,55.800000000000004
2012-09-01,221.2
2012-10-01,154.20000000000002
2012-11-01,26.0
2012-12-01,217.2
2013-01-01,104.4
2013-02-01,105.8
2013-03-01,186.4
2013-04-01,106.8
2013-05-01,127.60000000000001
2013-06-01,141.6
2013-07-01,96.4
2013-08-01,303.8
2013-09-01,182.79999999999998
2013-10-01,121.6
2013-11-01,242.8
2013-12-01,137.0
2014-01-01,88.4
2014-02-01,192.6
2014-03-01,194.4
2014-04-01,124.2
2014-05-01,158.0
2014-06-01,246.4
2014-07-01,136.4
2014-08-01,113.60000000000001
2014-09-01,217.6
2014-10-01,162.6
2014-11-01,114.2
2014-12-01,294.2
2015-01-01,135.2
2015-02-01,130.4
2015-03-01,55.6
2015-04-01,136.6
2015-05-01,115.0
2015-06-01,213.0
2015-07-01,163.6
2015-08-01,0.0
2015-09-01,0.0
2015-10-01,256.0
2015-11-01,144.8
2015-12-01,197.8
2016-01-01,114.8
2016-02-01,146.4
2016-03-01,243.4
2016-04-01,259.6
2016-05-01,60.0
2016-06-01,6.800000000000001
2016-07-01,192.4
2016-08-01,111.0
2016-09-01,84.2
2016-10-01,367.0
2016-11-01,104.4
2016-12-01,81.4
2017-01-01,146.8
2017-02-01,135.0
2017-03-01,250.0
2017-04-01,157.2
2017-05-01,312.4
2017-06-01,161.0
2017-07-01,28.8
2017-08-01,114.0
2017-09-01,106.6
2017-10-01,184.2
2017-11-01,162.4
2017-12-01,102.4
2018-01-01,146.6
2018-02-01,85.39999999999999
2018-03-01,124.2
2018-04-01,40.0
2018-05-01,118.6
2018-06-01,182.6
2018-07-01,163.0
2018-08-01,215.8
2018-09-01,183.0
2018-10-01,221.0
2018-11-01,191.0
2018-12-01,134.4
2019-01-01,138.0
2019-02-01,66.2
2019-03-01,82.6
2019-04-01,161.0
2019-05-01,70.4
2019-06-01,69.2
2019-07-01,44.0
2019-08-01,97.2
2019-09-01,72.8
2019-10-01,258.6
2019-11-01,158.6
2019-12-01,37.4
2020-01-01,144.6
2020-02-01,67.4
2020-03-01,33.0
2020-04-01,8.8
2020-05-01,136.4
2020-06-01,247.8
2020-07-01,309.2
2020-08-01,112.0
2020-09-01,137.8
2020-10-01,46.4
2020-11-01,5.2
2020-12-01,0.0
2021-01-01,226.0
2021-02-01,64.6
2021-03-01,148.6
2021-04-01,6.800000000000001
2021-05-01,198.0
2021-06-01,167.2
2021-07-01,35.4
2021-08-01,117.2
2021-09-01,161.4
2021-10-01,103.8
2021-11-01,38.2
2021-12-01,31.2
2022-01-01,81.6
2022-02-01,104.0
2022-03-01,174.0
2022-04-01,154.0
2022-05-01,295.0
2022-06-01,203.0
2022-07-01,147.8
2022-08-01,105.4
2022-09-01,58.800000000000004
2022-10-01,117.4
2022-11-01,58.2
2022-12-01,135.0
