Data de Referência,Temperatura Mediana (°C)
2007-01-01,21.975
2007-02-01,23.05
2007-03-01,21.4
2007-04-01,19.450000000000003
2007-05-01,12.45
2007-06-01,13.95
2007-07-01,10.75
2007-08-01,11.9
2007-09-01,17.1
2007-10-01,17.85
2007-11-01,17.950000000000003
2007-12-01,20.35
2008-01-01,20.75
2008-02-01,20.5
2008-03-01,20.1
2008-04-01,17.424999999999997
2008-05-01,13.55
2008-06-01,11.850000000000001
2008-07-01,14.5
2008-08-01,14.05
2008-09-01,12.95
2008-10-01,17.0
2008-11-01,18.75
2008-12-01,19.7
2009-01-01,20.299999999999997
2009-02-01,21.1
2009-03-01,20.700000000000003
2009-04-01,18.025
2009-05-01,15.45
2009-06-01,10.625
2009-07-01,11.275
2009-08-01,16.375
2009-09-01,15.4
2009-10-01,15.9
2009-11-01,21.2
2009-12-01,21.1
2010-01-01,21.5
2010-02-01,22.475
2010-03-01,20.25
2010-04-01,17.25
2010-05-01,13.975
2010-06-01,13.125
2010-07-01,13.399999999999999
2010-08-01,13.15
2010-09-01,15.425
2010-10-01,15.55
2010-11-01,17.975
2010-12-01,20.55
2011-01-01,22.0
2011-02-01,21.45
2011-03-01,19.450000000000003
2011-04-01,17.6
2011-05-01,14.25
2011-06-01,11.3
2011-07-01,12.875
2011-08-01,13.3
2011-09-01,14.425
2011-10-01,17.0
2011-11-01,19.0
2011-12-01,19.375
2012-01-01,21.025
2012-02-01,22.45
2012-03-01,20.25
2012-04-01,17.725
2012-05-01,16.15
2012-06-01,13.0
2012-07-01,10.850000000000001
2012-08-01,17.65
2012-09-01,15.85
2012-10-01,18.775
2012-11-01,20.4
2012-12-01,22.25
2013-01-01,20.4
2013-02-01,21.05
2013-03-01,17.7
2013-04-01,17.75
2013-05-01,15.05
2013-06-01,13.05
2013-07-01,12.425
2013-08-01,10.899999999999999
2013-09-01,14.95
2013-10-01,16.799999999999997
2013-11-01,19.85
2013-12-01,21.549999999999997
2014-01-01,23.0
2014-02-01,22.2
2014-03-01,19.85
2014-04-01,18.375
2014-05-01,14.600000000000001
2014-06-01,13.75
2014-07-01,13.95
2014-08-01,15.075
2014-09-01,16.525
2014-10-01,18.1
2014-11-01,19.825000000000003
2014-12-01,21.049999999999997
2015-01-01,21.7
2015-02-01,21.0
2015-03-01,20.625
2015-04-01,17.875
2015-05-01,15.8
2015-06-01,13.825
2015-07-01,13.2
2015-08-01,
2015-09-01,
2015-10-01,16.875
2015-11-01,18.6
2015-12-01,21.0
2016-01-01,22.1
2016-02-01,22.1
2016-03-01,18.875
2016-04-01,20.7
2016-05-01,12.65
2016-06-01,9.95
2016-07-01,13.075
2016-08-01,14.45
2016-09-01,13.45
2016-10-01,17.35
2016-11-01,18.85
2016-12-01,21.5
2017-01-01,21.775
2017-02-01,22.35
2017-03-01,20.25
2017-04-01,17.5
2017-05-01,15.7
2017-06-01,14.05
2017-07-01,15.225
2017-08-01,15.175
2017-09-01,18.175
2017-10-01,17.674999999999997
2017-11-01,17.475
2017-12-01,21.15
2018-01-01,20.85
2018-02-01,20.4
2018-03-01,20.299999999999997
2018-04-01,19.8
2018-05-01,16.15
2018-06-01,11.3
2018-07-01,12.95
2018-08-01,11.7
2018-09-01,16.65
2018-10-01,17.1
2018-11-01,19.55
2018-12-01,21.025
2019-01-01,23.1
2019-02-01,20.75
2019-03-01,19.6
2019-04-01,18.6
2019-05-01,14.95
2019-06-01,16.35
2019-07-01,12.850000000000001
2019-08-01,13.15
2019-09-01,14.399999999999999
2019-10-01,17.7
2019-11-01,19.15
2019-12-01,22.15
2020-01-01,21.4
2020-02-01,21.525
2020-03-01,21.549999999999997
2020-04-01,17.725
2020-05-01,14.95
2020-06-01,15.075000000000001
2020-07-01,11.1
2020-08-01,14.55
2020-09-01,16.049999999999997
2020-10-01,17.825000000000003
2020-11-01,18.35
2020-12-01,
2021-01-01,21.35
2021-02-01,20.424999999999997
2021-03-01,20.0
2021-04-01,18.025
2021-05-01,12.725
2021-06-01,12.4
2021-07-01,12.2
2021-08-01,15.225
2021-09-01,16.0
2021-10-01,17.0
2021-11-01,19.35
2021-12-01,21.1
2022-01-01,23.35
2022-02-01,21.8
2022-03-01,19.424999999999997
2022-04-01,17.5
2022-05-01,13.55
2022-06-01,12.25
2022-07-01,16.525
2022-08-01,12.899999999999999
2022-09-01,13.6
2022-10-01,16.15
2022-11-01,18.25
2022-12-01,20.950000000000003
