Data de Referência,Precipitação (mm)
2007-01-01,28.6
2007-02-01,84.8
2007-03-01,130.8
2007-04-01,135.4
2007-05-01,103.6
2007-06-01,261.59999999999997
2007-07-01,105.4
2007-08-01,202.2
2007-09-01,119.4
2007-10-01,112.0
2007-11-01,38.4
2007-12-01,55.2
2008-01-01,0.2
2008-02-01,0.0
2008-03-01,19.2
2008-04-01,30.0
2008-05-01,167.2
2008-06-01,61.4
2008-07-01,89.6
2008-08-01,238.8
2008-09-01,118.2
2008-10-01,32.2
2008-11-01,34.8
2008-12-01,31.8
2009-01-01,102.0
2009-02-01,205.4
2009-03-01,103.2
2009-04-01,33.4
2009-05-01,71.2
2009-06-01,116.6
2009-07-01,32.4
2009-08-01,134.6
2009-09-01,0.6000000000000001
2009-10-01,0.0
2009-11-01,158.6
2009-12-01,91.2
2010-01-01,3.4000000000000004
2010-02-01,258.0
2010-03-01,32.0
2010-04-01,102.2
2010-05-01,163.2
2010-06-01,87.0
2010-07-01,215.2
2010-08-01,11.8
2010-09-01,27.8
2010-10-01,10.6
2010-11-01,38.6
2010-12-01,41.4
2011-01-01,35.6
2011-02-01,133.2
2011-03-01,281.4
2011-04-01,98.0
2011-05-01,146.2
2011-06-01,126.6
2011-07-01,41.8
2011-08-01,147.2
2011-09-01,62.6
2011-10-01,63.4
2011-11-01,52.0
2011-12-01,53.0
2012-01-01,28.0
2012-02-01,124.8
2012-03-01,85.80000000000001
2012-04-01,84.6
2012-05-01,11.6
2012-06-01,81.2
2012-07-01,117.6
2012-08-01,110.8
2012-09-01,132.2
2012-10-01,36.8
2012-11-01,36.0
2012-12-01,138.2
2013-01-01,78.8
2013-02-01,194.8
2013-03-01,31.2
2013-04-01,149.4
2013-05-01,89.39999999999999
2013-06-01,128.4
2013-07-01,73.4
2013-08-01,112.4
2013-09-01,120.8
2013-10-01,119.2
2013-11-01,148.2
2013-12-01,70.4
2014-01-01,201.4
2014-02-01,170.4
2014-03-01,168.4
2014-04-01,55.4
2014-05-01,36.4
2014-06-01,149.0
2014-07-01,200.2
2014-08-01,58.8
2014-09-01,109.4
2014-10-01,254.4
2014-11-01,71.4
2014-12-01,145.0
2015-01-01,186.4
2015-02-01,0.7999999999999999
2015-03-01,1.8
2015-04-01,4.8
2015-05-01,126.8
2015-06-01,122.8
2015-07-01,148.0
2015-08-01,62.2
2015-09-01,278.8
2015-10-01,203.8
2015-11-01,124.2
2015-12-01,136.6
2016-01-01,66.0
2016-02-01,151.0
2016-03-01,189.8
2016-04-01,188.6
2016-05-01,0.6000000000000001
2016-06-01,0.0
2016-07-01,30.6
2016-08-01,121.6
2016-09-01,87.6
2016-10-01,76.8
2016-11-01,105.39999999999999
2016-12-01,82.0
2017-01-01,61.8
2017-02-01,74.8
2017-03-01,169.2
2017-04-01,93.4
2017-05-01,175.79999999999998
2017-06-01,35.6
2017-07-01,31.200000000000003
2017-08-01,0.0
2017-09-01,27.4
2017-10-01,232.4
2017-11-01,30.8
2017-12-01,30.2
2018-01-01,97.2
2018-02-01,65.4
2018-03-01,76.0
2018-04-01,82.0
2018-05-01,54.800000000000004
2018-06-01,0.0
2018-07-01,225.8
2018-08-01,75.4
2018-09-01,147.6
2018-10-01,19.8
2018-11-01,0.0
2018-12-01,46.2
2019-01-01,222.20000000000002
2019-02-01,31.799999999999997
2019-03-01,23.599999999999998
2019-04-01,63.8
2019-05-01,44.2
2019-06-01,38.4
2019-07-01,120.60000000000001
2019-08-01,97.4
2019-09-01,163.6
2019-10-01,196.6
2019-11-01,45.8
2019-12-01,38.800000000000004
2020-01-01,38.4
2020-02-01,25.4
2020-03-01,30.6
2020-04-01,50.6
2020-05-01,100.8
2020-06-01,226.4
2020-07-01,82.0
2020-08-01,44.2
2020-09-01,158.2
2020-10-01,122.8
2020-11-01,29.8
2020-12-01,119.0
2021-01-01,192.4
2021-02-01,156.4
2021-03-01,140.4
2021-04-01,41.8
2021-05-01,25.6
2021-06-01,83.0
2021-07-01,64.2
2021-08-01,112.0
2021-09-01,172.8
2021-10-01,63.0
2021-11-01,49.6
2021-12-01,18.2
2022-01-01,70.4
2022-02-01,50.8
2022-03-01,65.4
2022-04-01,123.8
2022-05-01,57.199999999999996
2022-06-01,84.6
2022-07-01,173.8
2022-08-01,118.0
2022-09-01,56.6
2022-10-01,93.2
2022-11-01,49.8
2022-12-01,17.4
