Data de Referência,Temperatura Mediana (°C)
2007-01-01,23.950000000000003
2007-02-01,24.0
2007-03-01,23.299999999999997
2007-04-01,21.5
2007-05-01,13.9
2007-06-01,12.25
2007-07-01,10.675
2007-08-01,11.2
2007-09-01,16.0
2007-10-01,18.700000000000003
2007-11-01,18.65
2007-12-01,22.35
2008-01-01,25.25
2008-02-01,
2008-03-01,22.75
2008-04-01,19.1
2008-05-01,16.5
2008-06-01,13.375
2008-07-01,15.100000000000001
2008-08-01,13.9
2008-09-01,15.3
2008-10-01,18.25
2008-11-01,20.825000000000003
2008-12-01,21.85
2009-01-01,22.55
2009-02-01,23.6
2009-03-01,22.799999999999997
2009-04-01,20.1
2009-05-01,17.25
2009-06-01,12.35
2009-07-01,11.6
2009-08-01,13.75
2009-09-01,17.25
2009-10-01,
2009-11-01,21.1
2009-12-01,22.05
2010-01-01,24.049999999999997
2010-02-01,25.3
2010-03-01,23.25
2010-04-01,20.049999999999997
2010-05-01,17.799999999999997
2010-06-01,15.0
2010-07-01,13.2
2010-08-01,13.5
2010-09-01,16.375
2010-10-01,16.9
2010-11-01,18.875
2010-12-01,22.5
2011-01-01,24.4
2011-02-01,24.0
2011-03-01,22.3
2011-04-01,20.1
2011-05-01,16.4
2011-06-01,13.75
2011-07-01,12.25
2011-08-01,13.25
2011-09-01,14.925
2011-10-01,17.75
2011-11-01,20.35
2011-12-01,20.875
2012-01-01,23.3
2012-02-01,24.75
2012-03-01,22.975
2012-04-01,18.85
2012-05-01,18.4
2012-06-01,13.05
2012-07-01,10.95
2012-08-01,16.7
2012-09-01,16.85
2012-10-01,19.200000000000003
2012-11-01,21.25
2012-12-01,23.85
2013-01-01,22.950000000000003
2013-02-01,23.700000000000003
2013-03-01,20.9
2013-04-01,19.65
2013-05-01,15.725
2013-06-01,13.5
2013-07-01,12.6
2013-08-01,11.600000000000001
2013-09-01,15.5
2013-10-01,17.75
2013-11-01,20.4
2013-12-01,23.0
2014-01-01,24.450000000000003
2014-02-01,24.2
2014-03-01,22.1
2014-04-01,20.6
2014-05-01,16.450000000000003
2014-06-01,15.0
2014-07-01,15.45
2014-08-01,14.6
2014-09-01,16.65
2014-10-01,19.25
2014-11-01,21.125
2014-12-01,23.075000000000003
2015-01-01,24.4
2015-02-01,25.700000000000003
2015-03-01,25.950000000000003
2015-04-01,20.799999999999997
2015-05-01,18.25
2015-06-01,14.899999999999999
2015-07-01,14.55
2015-08-01,17.799999999999997
2015-09-01,15.75
2015-10-01,17.1
2015-11-01,19.25
2015-12-01,22.4
2016-01-01,23.75
2016-02-01,24.5
2016-03-01,21.625
2016-04-01,21.65
2016-05-01,14.925
2016-06-01,
2016-07-01,13.15
2016-08-01,14.0
2016-09-01,13.75
2016-10-01,17.35
2016-11-01,20.0
2016-12-01,22.5
2017-01-01,24.049999999999997
2017-02-01,25.325000000000003
2017-03-01,22.65
2017-04-01,20.0
2017-05-01,17.950000000000003
2017-06-01,15.2
2017-07-01,16.25
2017-08-01,
2017-09-01,18.075000000000003
2017-10-01,18.674999999999997
2017-11-01,19.4
2017-12-01,22.05
2018-01-01,23.75
2018-02-01,23.1
2018-03-01,22.0
2018-04-01,22.35
2018-05-01,18.0
2018-06-01,11.875
2018-07-01,13.05
2018-08-01,13.2
2018-09-01,17.0
2018-10-01,18.0
2018-11-01,21.299999999999997
2018-12-01,22.025
2019-01-01,24.3
2019-02-01,23.75
2019-03-01,22.1
2019-04-01,20.35
2019-05-01,18.700000000000003
2019-06-01,17.674999999999997
2019-07-01,12.75
2019-08-01,13.5
2019-09-01,14.95
2019-10-01,18.4
2019-11-01,21.15
2019-12-01,22.65
2020-01-01,23.825000000000003
2020-02-01,23.700000000000003
2020-03-01,23.05
2020-04-01,19.775
2020-05-01,16.2
2020-06-01,15.2
2020-07-01,11.8
2020-08-01,14.6
2020-09-01,14.649999999999999
2020-10-01,17.45
2020-11-01,20.0
2020-12-01,22.200000000000003
2021-01-01,24.0
2021-02-01,23.1
2021-03-01,22.5
2021-04-01,20.950000000000003
2021-05-01,14.399999999999999
2021-06-01,13.95
2021-07-01,12.325
2021-08-01,14.15
2021-09-01,16.6
2021-10-01,17.75
2021-11-01,20.450000000000003
2021-12-01,21.549999999999997
2022-01-01,24.85
2022-02-01,23.85
2022-03-01,21.95
2022-04-01,19.424999999999997
2022-05-01,15.1
2022-06-01,12.55
2022-07-01,14.5
2022-08-01,13.775
2022-09-01,15.2
2022-10-01,16.9
2022-11-01,20.4
2022-12-01,22.4
